case_key,source_case_key,row,gate_latest_solver_time,latest_registered_timestep,latest_log_time,post_restart_advance_so_far,status,closure_fit_admissible,future_fit_label,registry_source_root
salt1_hi10q,salt1_jin_hi10q_corrected,Salt1 +10Q,4010.590 s,5587.000 s,5587.988 s,254.259 s = 4m 14s,Not accepted; early monitor/End path. Repair/rerun before treating as continuation evidence.,no,sensitivity/correlation-support,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt1_lo10q,salt1_jin_lo10q_corrected,Salt1 -10Q,6377.610 s,8016.000 s,8016.747 s,2621.279 s = 43m 41s,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,yes,closure-fit admissible,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt2_hi10q,salt2_jin_hi10q_corrected,Salt2 +10Q,9674.572 s,10051.000 s,10051.939 s,1759.572 s = 29m 20s,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,yes,closure-fit admissible,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_hi5q,salt2_jin_hi5q_corrected,Salt2 +5Q,9780.591 s,9780.000 s,9780.591 s,1865.591 s = 31m 06s,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,yes,closure-fit admissible,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_lo10q,salt2_jin_lo10q_corrected,Salt2 -10Q,10291.669 s,10683.000 s,10683.454 s,2376.669 s = 39m 37s,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,yes,closure-fit admissible,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_lo5q,salt2_jin_lo5q_corrected,Salt2 -5Q,10275.911 s,10275.000 s,10275.911 s,2360.911 s = 39m 21s,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,yes,closure-fit admissible,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt3_hi10q,salt3_jin_hi10q_corrected,Salt3 +10Q,7637.876 s,7637.000 s,7637.876 s,19.876 s = 0m 20s,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,no,sensitivity/correlation-support,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_hi5q,salt3_jin_hi5q_corrected,Salt3 +5Q,7639.476 s,7639.000 s,7639.476 s,21.476 s = 0m 21s,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,no,sensitivity/correlation-support,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_lo10q,salt3_jin_lo10q_corrected,Salt3 -10Q,9428.159 s,9428.000 s,9428.159 s,1810.159 s = 30m 10s,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,yes,closure-fit admissible,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt3_lo5q,salt3_jin_lo5q_corrected,Salt3 -5Q,9389.171 s,9389.000 s,9389.171 s,1771.171 s = 29m 31s,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,yes,closure-fit admissible,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
